nombre,long,lat,hora,NO2
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 03:00:00,62
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 04:00:00,49
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 05:00:00,47
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 06:00:00,62
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 07:00:00,76
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 08:00:00,104
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 09:00:00,78
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 10:00:00,76
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 11:00:00,64
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 12:00:00,63
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 13:00:00,49
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 14:00:00,42
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 15:00:00,33
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 16:00:00,33
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 17:00:00,39
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 00:00:00,70
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 01:00:00,59
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 02:00:00,52
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 03:00:00,49
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 04:00:00,53
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 05:00:00,57
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 06:00:00,64
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 07:00:00,68
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 08:00:00,73
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 09:00:00,67
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 10:00:00,67
Urb. Embajada,-3.580747222222222,40.46253055555556,2017-10-25 11:00:00,92
